Product Name,Brand,Price,Availability,Rating,Review Count,1★,2★,3★,4★,5★,Delivery Info,Sponsored,Features
"boAt Rockerz 650 Pro(2025 Launch), Touch/Swipe Controls...",boAt,"₹2,299",In Stock,4.2,,,,,,,,No,
BAGATELLE Wireless Headphone with Fm & Sd Card Slot for...,BAGATELLE,₹554,In Stock,3.2,,,,,,,,No,
Bose ‎QuietComfort Headphones Bluetooth,Bose,"₹19,990",In Stock,4.5,,,,,,,,No,
Flipkart SmartBuy FKBT02 Bluetooth,Flipkart,"₹1,138",In Stock,4.1,,,,,,,,No,
SpinBot BattleBudz H2 Headphone RGB Light|Boom Mic|Susp...,SpinBot,₹898,In Stock,3.6,,,,,,,,No,
"PTron Studio Evo w/ Dual Pairing, 70H Playtime, Pristin...",PTron,₹799,In Stock,4,,,,,,,,No,
"Portronics Muffs M2 Bluetooth Headphones Over Ear,40 Hr...",Portronics,₹819,In Stock,4,,,,,,,,No,
Rocktouch LCD Smart Touch Screen Bluetooth,Rocktouch,₹649,In Stock,3.2,,,,,,,,No,
"Skullcandy Riff 2,40mm drivers, Advanced Features with ...",Skullcandy,"₹3,699",In Stock,3.8,,,,,,,,No,
Leaf Bass Bluetooth,Leaf,₹699,In Stock,3.3,,,,,,,,No,
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",TRIGGR,₹799,In Stock,3.9,,,,,,,,No,
YAROH SH12 Premium (Bluetooth Headset) with Noise Cance...,YAROH,₹459,In Stock,3.4,,,,,,,,No,
"ACwO DwOTS Sense with OWS Design, 65H Playtime, 40ms Lo...",ACwO,"₹2,111",In Stock,4.1,,,,,,,,No,
"ADCOM Cyberpunk Wireless Gaming 50ms Low Latency, 40mm ...",ADCOM,"₹1,495",In Stock,3.8,,,,,,,,No,
Frontech Earphone Deep Bass HD Audio | 3.5mm | For Call...,Frontech,₹222,In Stock,3.7,,,,,,,,No,
"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...",GOBOULT,"₹1,599",In Stock,4.1,,,,,,,,No,
"PTron Studio Evo w/ 70Hrs Playtime,Dual Pairing,Pristin...",PTron,₹799,In Stock,4,,,,,,,,No,
BigPassport Pro-Tech_493 Wired Gaming,BigPassport,"₹1,283",In Stock,3.7,,,,,,,,No,
"Noise Master Buds Max, Sound by BOSE, Segment Leading A...",Noise,"₹9,999",In Stock,4.4,,,,,,,,No,
"Noise Airwave Max 5 with 80Hr Playtime, HFA Tech, Adapt...",Noise,"₹4,499",In Stock,4.3,,,,,,,,No,
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",TRIGGR,₹699,In Stock,3.9,,,,,,,,No,
Voods V Heads - Active Bluetooth Gaming,Voods,₹879,In Stock,3.6,,,,,,,,No,
Kreo Beluga v2 Wired Gaming Headphone with Mic for Mobi...,Kreo,"₹2,299",In Stock,4.1,,,,,,,,No,
TECHIO Pro . earbuds with mic Bluetooth,TECHIO,₹439,In Stock,3,,,,,,,,No,
AKG K712 Pro Studio Wired without Mic,AKG,"₹11,399",In Stock,5,,,,,,,,No,
"Noise Airwave Max 5 with 80Hr Playtime, HFA Tech, Adapt...",Noise,"₹4,499",In Stock,4.3,,,,,,,,No,
"boAt Rockerz 430, 40ms Latency, 40H Battery, Stream Ad ...",boAt,"₹1,099",In Stock,4.1,,,,,,,,No,
JBL Quantum 100M2 Gaming Wired Headphone with Detachabl...,JBL,"₹2,999",In Stock,3.7,,,,,,,,No,
"SONY Inzone H5 WH-G500 Wireless, 360 Spatial Sound,Comp...",SONY,"₹12,990",In Stock,4.2,,,,,,,,No,
"boAt Rockerz 412, 60H Battery,40ms Latency,ENx, Stream ...",boAt,"₹1,299",In Stock,4.2,,,,,,,,No,
"boAt Rockerz 411,40H Battery, 40ms Latency, Stream Ad F...",boAt,"₹1,099",In Stock,4.1,,,,,,,,No,
"boAt Rockerz 450, 40mm Drivers, 15H Battery, Stream Ad ...",boAt,"₹1,899",In Stock,4.2,,,,,,,,No,
Unix Cool Look Music Lover Studio Podcast-Gaming-Online...,Unix,₹750,In Stock,3.9,,,,,,,,No,
F FERONS Wireless Lightweight Foldable Adjustable Suppo...,F,₹294,In Stock,3.8,,,,,,,,No,
NECKTECH Bullet z2 BLUE z2 Bluetooth,NECKTECH,₹274,In Stock,4.4,,,,,,,,No,
"Noise Airwave Max 5 with 80Hr Playtime, HFA Tech, Adapt...",Noise,"₹4,499",In Stock,4.3,,,,,,,,No,
